alert_date,location,category,item_name,current_stock,alert_type,days_until_stockout,resolved,priority
2025-10-17,City Hospital - Main,medicines,Insulin 100U/ml,97,LOW,4.22,False,MEDIUM
2025-10-18,City Hospital - Main,medicines,Insulin 100U/ml,82,LOW,5.47,False,MEDIUM
2025-11-09,City Hospital - Main,medicines,Insulin 100U/ml,98,LOW,3.16,False,MEDIUM
2025-11-10,City Hospital - Main,medicines,Insulin 100U/ml,86,LOW,7.17,False,MEDIUM
2025-12-01,City Hospital - Main,medicines,Insulin 100U/ml,107,LOW,11.89,False,MEDIUM
2025-12-02,City Hospital - Main,medicines,Insulin 100U/ml,87,LOW,4.35,False,MEDIUM
2025-12-03,City Hospital - Main,medicines,Insulin 100U/ml,82,LOW,16.4,False,MEDIUM
2025-12-24,City Hospital - Main,medicines,Insulin 100U/ml,103,LOW,3.81,False,MEDIUM
2025-12-25,City Hospital - Main,medicines,Insulin 100U/ml,90,LOW,6.92,False,MEDIUM
2025-10-18,City Hospital - Main,medicines,Salbutamol Inhaler,110,LOW,10.0,False,MEDIUM
2025-10-19,City Hospital - Main,medicines,Salbutamol Inhaler,105,LOW,21.0,False,MEDIUM
2025-11-06,City Hospital - Main,medicines,Salbutamol Inhaler,119,LOW,19.83,False,MEDIUM
2025-11-07,City Hospital - Main,medicines,Salbutamol Inhaler,96,LOW,4.17,False,MEDIUM
2025-12-02,City Hospital - Main,medicines,Salbutamol Inhaler,114,LOW,4.96,False,MEDIUM
2025-12-03,City Hospital - Main,medicines,Salbutamol Inhaler,105,LOW,11.67,False,MEDIUM
2025-12-04,City Hospital - Main,medicines,Salbutamol Inhaler,84,LOW,4.0,False,MEDIUM
2025-12-05,City Hospital - Main,medicines,Salbutamol Inhaler,79,LOW,15.8,False,MEDIUM
2025-12-28,City Hospital - Main,medicines,Salbutamol Inhaler,104,LOW,4.0,False,MEDIUM
2025-12-29,City Hospital - Main,medicines,Salbutamol Inhaler,93,LOW,8.45,False,MEDIUM
2025-12-30,City Hospital - Main,medicines,Salbutamol Inhaler,86,LOW,12.29,False,MEDIUM
2025-10-20,City Hospital - Main,food,Rice (kg),220,LOW,10.48,False,MEDIUM
2025-10-21,City Hospital - Main,food,Rice (kg),198,LOW,9.0,False,MEDIUM
2025-10-22,City Hospital - Main,food,Rice (kg),166,LOW,5.19,False,MEDIUM
2025-11-17,City Hospital - Main,food,Rice (kg),234,LOW,8.07,False,MEDIUM
2025-11-18,City Hospital - Main,food,Rice (kg),203,LOW,6.55,False,MEDIUM
2025-11-19,City Hospital - Main,food,Rice (kg),170,LOW,5.15,False,MEDIUM
2025-12-13,City Hospital - Main,food,Rice (kg),190,LOW,3.96,False,MEDIUM
2025-12-14,City Hospital - Main,food,Rice (kg),166,LOW,6.92,False,MEDIUM
2025-10-07,City Hospital - Main,food,Wheat Flour (kg),43,LOW,1.13,False,MEDIUM
2025-10-19,City Hospital - Main,food,Wheat Flour (kg),33,LOW,1.32,False,MEDIUM
2025-10-31,City Hospital - Main,food,Wheat Flour (kg),33,LOW,1.74,False,MEDIUM
2025-11-18,City Hospital - Main,food,Wheat Flour (kg),44,LOW,1.38,False,MEDIUM
2025-12-05,City Hospital - Main,food,Wheat Flour (kg),41,LOW,1.0,False,MEDIUM
2025-12-28,City Hospital - Main,food,Wheat Flour (kg),35,LOW,1.3,False,MEDIUM
2026-01-03,City Hospital - Main,food,Wheat Flour (kg),46,LOW,2.0,False,MEDIUM
2025-10-20,City Hospital - Main,food,Lentils (kg),231,LOW,7.22,False,MEDIUM
2025-10-21,City Hospital - Main,food,Lentils (kg),201,LOW,6.7,False,MEDIUM
2025-10-22,City Hospital - Main,food,Lentils (kg),189,LOW,15.75,False,MEDIUM
2025-11-20,City Hospital - Main,food,Lentils (kg),253,LOW,6.84,False,MEDIUM
2025-11-21,City Hospital - Main,food,Lentils (kg),239,LOW,17.07,False,MEDIUM
2025-11-22,City Hospital - Main,food,Lentils (kg),227,LOW,18.92,False,MEDIUM
2025-11-23,City Hospital - Main,food,Lentils (kg),210,LOW,12.35,False,MEDIUM
2025-11-24,City Hospital - Main,food,Lentils (kg),193,LOW,11.35,False,MEDIUM
2025-12-18,City Hospital - Main,food,Lentils (kg),231,LOW,4.2,False,MEDIUM
2025-12-19,City Hospital - Main,food,Lentils (kg),209,LOW,9.5,False,MEDIUM
2025-12-20,City Hospital - Main,food,Lentils (kg),194,LOW,12.93,False,MEDIUM
2025-10-16,City Hospital - Main,food,Cooking Oil (L),59,LOW,2.95,False,MEDIUM
2025-10-24,City Hospital - Main,food,Cooking Oil (L),51,LOW,4.25,False,MEDIUM
2025-11-10,City Hospital - Main,food,Cooking Oil (L),53,LOW,2.41,False,MEDIUM
2025-11-17,City Hospital - Main,food,Cooking Oil (L),55,LOW,1.28,False,MEDIUM
2025-12-03,City Hospital - Main,food,Cooking Oil (L),51,LOW,1.89,False,MEDIUM
2025-12-04,City Hospital - Main,food,Cooking Oil (L),43,LOW,5.38,False,MEDIUM
2025-12-23,City Hospital - Main,food,Cooking Oil (L),47,LOW,1.52,False,MEDIUM
2025-10-23,City Hospital - Main,food,Sugar (kg),288,LOW,10.67,False,MEDIUM
2025-10-24,City Hospital - Main,food,Sugar (kg),262,LOW,10.08,False,MEDIUM
2025-10-25,City Hospital - Main,food,Sugar (kg),228,LOW,6.71,False,MEDIUM
2025-10-26,City Hospital - Main,food,Sugar (kg),196,LOW,6.12,False,MEDIUM
2025-11-28,City Hospital - Main,food,Sugar (kg),285,LOW,7.7,False,MEDIUM
2025-11-29,City Hospital - Main,food,Sugar (kg),252,LOW,7.64,False,MEDIUM
2025-11-30,City Hospital - Main,food,Sugar (kg),220,LOW,6.88,False,MEDIUM
2025-10-24,City Hospital - Main,food,Salt (kg),344,LOW,8.82,False,MEDIUM
2025-10-25,City Hospital - Main,food,Salt (kg),325,LOW,17.11,False,MEDIUM
2025-10-26,City Hospital - Main,food,Salt (kg),304,LOW,14.48,False,MEDIUM
2025-10-27,City Hospital - Main,food,Salt (kg),283,LOW,13.48,False,MEDIUM
2025-10-28,City Hospital - Main,food,Salt (kg),258,LOW,10.32,False,MEDIUM
2025-12-05,City Hospital - Main,food,Salt (kg),357,LOW,16.23,False,MEDIUM
2025-12-06,City Hospital - Main,food,Salt (kg),323,LOW,9.5,False,MEDIUM
2025-12-07,City Hospital - Main,food,Salt (kg),263,LOW,4.38,False,MEDIUM
2025-10-25,City Hospital - Main,food,Milk Powder (kg),366,LOW,17.43,False,MEDIUM
2025-10-26,City Hospital - Main,food,Milk Powder (kg),355,LOW,32.27,False,MEDIUM
2025-10-27,City Hospital - Main,food,Milk Powder (kg),317,LOW,8.34,False,MEDIUM
2025-10-28,City Hospital - Main,food,Milk Powder (kg),303,LOW,21.64,False,MEDIUM
2025-10-29,City Hospital - Main,food,Milk Powder (kg),284,LOW,14.95,False,MEDIUM
2025-10-30,City Hospital - Main,food,Milk Powder (kg),264,LOW,13.2,False,MEDIUM
2025-12-05,City Hospital - Main,food,Milk Powder (kg),348,LOW,6.0,False,MEDIUM
2025-12-06,City Hospital - Main,food,Milk Powder (kg),321,LOW,11.89,False,MEDIUM
2025-12-07,City Hospital - Main,food,Milk Powder (kg),302,LOW,15.89,False,MEDIUM
2025-12-08,City Hospital - Main,food,Milk Powder (kg),290,LOW,24.17,False,MEDIUM
2025-12-09,City Hospital - Main,food,Milk Powder (kg),260,LOW,8.67,False,MEDIUM
2025-10-10,City Hospital - Main,food,Canned Beans,80,LOW,1.51,False,MEDIUM
2025-10-21,City Hospital - Main,food,Canned Beans,94,LOW,6.27,False,MEDIUM
2025-10-22,City Hospital - Main,food,Canned Beans,70,LOW,2.92,False,MEDIUM
2025-10-31,City Hospital - Main,food,Canned Beans,92,LOW,10.22,False,MEDIUM
2025-11-01,City Hospital - Main,food,Canned Beans,83,LOW,9.22,False,MEDIUM
2025-11-02,City Hospital - Main,food,Canned Beans,67,LOW,4.19,False,MEDIUM
2025-11-13,City Hospital - Main,food,Canned Beans,66,LOW,1.83,False,MEDIUM
2025-11-27,City Hospital - Main,food,Canned Beans,77,LOW,4.05,False,MEDIUM
2025-11-28,City Hospital - Main,food,Canned Beans,68,LOW,7.56,False,MEDIUM
2025-12-11,City Hospital - Main,food,Canned Beans,84,LOW,5.6,False,MEDIUM
2025-12-12,City Hospital - Main,food,Canned Beans,72,LOW,6.0,False,MEDIUM
2025-12-24,City Hospital - Main,food,Canned Beans,71,LOW,2.63,False,MEDIUM
2026-01-03,City Hospital - Main,food,Canned Beans,84,LOW,7.0,False,MEDIUM
2025-10-29,City Hospital - Main,food,Pasta (kg),36,LOW,2.12,False,MEDIUM
2025-11-14,City Hospital - Main,food,Pasta (kg),36,LOW,2.4,False,MEDIUM
2025-11-28,City Hospital - Main,food,Pasta (kg),36,LOW,0.97,False,MEDIUM
2025-12-03,City Hospital - Main,food,Pasta (kg),34,LOW,0.83,False,MEDIUM
2025-12-18,City Hospital - Main,food,Pasta (kg),37,LOW,0.93,False,MEDIUM
2025-12-25,City Hospital - Main,food,Pasta (kg),28,LOW,1.75,False,MEDIUM
2025-10-21,City Hospital - Main,food,Baby Food,266,LOW,11.57,False,MEDIUM
2025-10-22,City Hospital - Main,food,Baby Food,216,LOW,4.32,False,MEDIUM
2025-11-21,City Hospital - Main,food,Baby Food,268,LOW,10.72,False,MEDIUM
2025-11-22,City Hospital - Main,food,Baby Food,257,LOW,23.36,False,MEDIUM
2025-11-23,City Hospital - Main,food,Baby Food,233,LOW,9.71,False,MEDIUM
2025-11-24,City Hospital - Main,food,Baby Food,211,LOW,9.59,False,MEDIUM
2025-12-23,City Hospital - Main,food,Baby Food,258,LOW,7.82,False,MEDIUM
2025-12-24,City Hospital - Main,food,Baby Food,230,LOW,8.21,False,MEDIUM
2025-12-25,City Hospital - Main,food,Baby Food,209,LOW,9.95,False,MEDIUM
2025-12-26,City Hospital - Main,food,Baby Food,197,LOW,16.42,False,MEDIUM
2025-10-11,City Hospital - Main,supplies,Surgical Masks (box),65,LOW,5.0,False,MEDIUM
2025-10-12,City Hospital - Main,supplies,Surgical Masks (box),55,LOW,5.5,False,MEDIUM
2025-10-13,City Hospital - Main,supplies,Surgical Masks (box),49,LOW,8.17,False,MEDIUM
2025-10-28,City Hospital - Main,supplies,Surgical Masks (box),61,LOW,2.54,False,MEDIUM
2025-10-29,City Hospital - Main,supplies,Surgical Masks (box),47,LOW,3.36,False,MEDIUM
2025-11-14,City Hospital - Main,supplies,Surgical Masks (box),66,LOW,9.43,False,MEDIUM
2025-11-15,City Hospital - Main,supplies,Surgical Masks (box),47,LOW,2.47,False,MEDIUM
2025-12-03,City Hospital - Main,supplies,Surgical Masks (box),55,LOW,3.24,False,MEDIUM
2025-12-04,City Hospital - Main,supplies,Surgical Masks (box),49,LOW,8.17,False,MEDIUM
2025-12-21,City Hospital - Main,supplies,Surgical Masks (box),57,LOW,4.38,False,MEDIUM
2025-11-16,City Hospital - Main,supplies,Gloves (box),365,LOW,26.07,False,MEDIUM
2025-11-17,City Hospital - Main,supplies,Gloves (box),363,LOW,181.5,False,MEDIUM
2025-11-18,City Hospital - Main,supplies,Gloves (box),353,LOW,35.3,False,MEDIUM
2025-11-19,City Hospital - Main,supplies,Gloves (box),345,LOW,43.12,False,MEDIUM
2025-11-20,City Hospital - Main,supplies,Gloves (box),338,LOW,48.29,False,MEDIUM
2025-11-21,City Hospital - Main,supplies,Gloves (box),335,LOW,111.67,False,MEDIUM
2025-11-22,City Hospital - Main,supplies,Gloves (box),318,LOW,18.71,False,MEDIUM
2025-11-23,City Hospital - Main,supplies,Gloves (box),304,LOW,21.71,False,MEDIUM
2025-11-24,City Hospital - Main,supplies,Gloves (box),288,LOW,18.0,False,MEDIUM
2025-11-25,City Hospital - Main,supplies,Gloves (box),284,LOW,71.0,False,MEDIUM
2025-11-26,City Hospital - Main,supplies,Gloves (box),267,LOW,15.71,False,MEDIUM
2025-11-27,City Hospital - Main,supplies,Gloves (box),252,LOW,16.8,False,MEDIUM
2025-10-18,City Hospital - Main,supplies,Hand Sanitizer (L),75,LOW,5.36,False,MEDIUM
2025-10-19,City Hospital - Main,supplies,Hand Sanitizer (L),68,LOW,9.71,False,MEDIUM
2025-11-09,City Hospital - Main,supplies,Hand Sanitizer (L),76,LOW,2.71,False,MEDIUM
2025-11-10,City Hospital - Main,supplies,Hand Sanitizer (L),70,LOW,11.67,False,MEDIUM
2025-11-26,City Hospital - Main,supplies,Hand Sanitizer (L),70,LOW,2.69,False,MEDIUM
2025-12-14,City Hospital - Main,supplies,Hand Sanitizer (L),64,LOW,3.76,False,MEDIUM
2025-12-15,City Hospital - Main,supplies,Hand Sanitizer (L),57,LOW,8.14,False,MEDIUM
2026-01-01,City Hospital - Main,supplies,Hand Sanitizer (L),73,LOW,6.08,False,MEDIUM
2026-01-02,City Hospital - Main,supplies,Hand Sanitizer (L),58,LOW,3.87,False,MEDIUM
2026-01-03,City Hospital - Main,supplies,Hand Sanitizer (L),54,LOW,13.5,False,MEDIUM
2025-11-02,City Hospital - Main,supplies,Bandages (pack),223,LOW,7.43,False,MEDIUM
2025-11-03,City Hospital - Main,supplies,Bandages (pack),207,LOW,12.94,False,MEDIUM
2025-11-04,City Hospital - Main,supplies,Bandages (pack),182,LOW,7.28,False,MEDIUM
2025-11-05,City Hospital - Main,supplies,Bandages (pack),168,LOW,12.0,False,MEDIUM
2025-12-18,City Hospital - Main,supplies,Bandages (pack),224,LOW,56.0,False,MEDIUM
2025-12-19,City Hospital - Main,supplies,Bandages (pack),215,LOW,23.89,False,MEDIUM
2025-12-20,City Hospital - Main,supplies,Bandages (pack),210,LOW,42.0,False,MEDIUM
2025-12-21,City Hospital - Main,supplies,Bandages (pack),197,LOW,15.15,False,MEDIUM
2025-12-22,City Hospital - Main,supplies,Bandages (pack),189,LOW,23.62,False,MEDIUM
2025-12-23,City Hospital - Main,supplies,Bandages (pack),164,LOW,6.56,False,MEDIUM
2025-12-24,City Hospital - Main,supplies,Bandages (pack),162,LOW,81.0,False,MEDIUM
2025-11-01,City Hospital - Main,supplies,Syringes (pack),243,LOW,24.3,False,MEDIUM
2025-11-02,City Hospital - Main,supplies,Syringes (pack),224,LOW,11.79,False,MEDIUM
2025-11-03,City Hospital - Main,supplies,Syringes (pack),215,LOW,23.89,False,MEDIUM
2025-11-04,City Hospital - Main,supplies,Syringes (pack),185,LOW,6.17,False,MEDIUM
2025-11-05,City Hospital - Main,supplies,Syringes (pack),168,LOW,9.88,False,MEDIUM
2026-01-01,City Hospital - Main,supplies,Syringes (pack),241,LOW,10.95,False,MEDIUM
2026-01-02,City Hospital - Main,supplies,Syringes (pack),231,LOW,23.1,False,MEDIUM
2026-01-03,City Hospital - Main,supplies,Syringes (pack),216,LOW,14.4,False,MEDIUM
2025-11-01,City Hospital - Main,supplies,Cotton Swabs (pack),212,LOW,30.29,False,MEDIUM
2025-11-02,City Hospital - Main,supplies,Cotton Swabs (pack),190,LOW,8.64,False,MEDIUM
2025-11-03,City Hospital - Main,supplies,Cotton Swabs (pack),187,LOW,62.33,False,MEDIUM
2025-11-04,City Hospital - Main,supplies,Cotton Swabs (pack),172,LOW,11.47,False,MEDIUM
2025-11-05,City Hospital - Main,supplies,Cotton Swabs (pack),162,LOW,16.2,False,MEDIUM
2025-11-06,City Hospital - Main,supplies,Cotton Swabs (pack),158,LOW,39.5,False,MEDIUM
2025-12-23,City Hospital - Main,supplies,Cotton Swabs (pack),211,LOW,12.41,False,MEDIUM
2025-12-24,City Hospital - Main,supplies,Cotton Swabs (pack),207,LOW,51.75,False,MEDIUM
2025-12-25,City Hospital - Main,supplies,Cotton Swabs (pack),196,LOW,17.82,False,MEDIUM
2025-12-26,City Hospital - Main,supplies,Cotton Swabs (pack),194,LOW,97.0,False,MEDIUM
2025-12-27,City Hospital - Main,supplies,Cotton Swabs (pack),173,LOW,8.24,False,MEDIUM
2025-12-28,City Hospital - Main,supplies,Cotton Swabs (pack),166,LOW,23.71,False,MEDIUM
2025-12-29,City Hospital - Main,supplies,Cotton Swabs (pack),159,LOW,22.71,False,MEDIUM
2025-10-20,City Hospital - Main,supplies,Thermometers,27,LOW,1.69,False,MEDIUM
2025-10-29,City Hospital - Main,supplies,Thermometers,32,LOW,1.68,False,MEDIUM
2025-11-06,City Hospital - Main,supplies,Thermometers,35,LOW,1.13,False,MEDIUM
2025-11-07,City Hospital - Main,supplies,Thermometers,31,LOW,7.75,False,MEDIUM
2025-11-16,City Hospital - Main,supplies,Thermometers,33,LOW,3.67,False,MEDIUM
2025-11-17,City Hospital - Main,supplies,Thermometers,28,LOW,5.6,False,MEDIUM
2025-11-25,City Hospital - Main,supplies,Thermometers,37,LOW,2.31,False,MEDIUM
2025-11-26,City Hospital - Main,supplies,Thermometers,33,LOW,8.25,False,MEDIUM
2025-12-06,City Hospital - Main,supplies,Thermometers,35,LOW,1.94,False,MEDIUM
2025-12-07,City Hospital - Main,supplies,Thermometers,30,LOW,6.0,False,MEDIUM
2025-12-25,City Hospital - Main,supplies,Thermometers,26,LOW,2.0,False,MEDIUM
2026-01-02,City Hospital - Main,supplies,Thermometers,37,LOW,2.31,False,MEDIUM
2026-01-03,City Hospital - Main,supplies,Thermometers,28,LOW,3.11,False,MEDIUM
2025-10-20,City Hospital - Main,supplies,Blood Pressure Monitor,101,LOW,4.04,False,MEDIUM
2025-10-21,City Hospital - Main,supplies,Blood Pressure Monitor,85,LOW,5.31,False,MEDIUM
2025-10-22,City Hospital - Main,supplies,Blood Pressure Monitor,73,LOW,6.08,False,MEDIUM
2025-11-15,City Hospital - Main,supplies,Blood Pressure Monitor,102,LOW,12.75,False,MEDIUM
2025-11-16,City Hospital - Main,supplies,Blood Pressure Monitor,79,LOW,3.43,False,MEDIUM
2025-11-17,City Hospital - Main,supplies,Blood Pressure Monitor,73,LOW,12.17,False,MEDIUM
2025-12-12,City Hospital - Main,supplies,Blood Pressure Monitor,100,LOW,6.25,False,MEDIUM
2025-12-13,City Hospital - Main,supplies,Blood Pressure Monitor,82,LOW,4.56,False,MEDIUM
2025-12-14,City Hospital - Main,supplies,Blood Pressure Monitor,74,LOW,9.25,False,MEDIUM
2025-10-15,City Hospital - Main,supplies,First Aid Kit,64,LOW,3.05,False,MEDIUM
2025-10-30,City Hospital - Main,supplies,First Aid Kit,59,LOW,3.28,False,MEDIUM
2025-11-15,City Hospital - Main,supplies,First Aid Kit,60,LOW,6.0,False,MEDIUM
2025-11-16,City Hospital - Main,supplies,First Aid Kit,56,LOW,14.0,False,MEDIUM
2025-11-17,City Hospital - Main,supplies,First Aid Kit,47,LOW,5.22,False,MEDIUM
2025-12-09,City Hospital - Main,supplies,First Aid Kit,67,LOW,22.33,False,MEDIUM
2025-12-10,City Hospital - Main,supplies,First Aid Kit,61,LOW,10.17,False,MEDIUM
2025-12-11,City Hospital - Main,supplies,First Aid Kit,53,LOW,6.62,False,MEDIUM
2025-12-31,City Hospital - Main,supplies,First Aid Kit,57,LOW,3.56,False,MEDIUM
2025-10-18,City Hospital - Main,supplies,Disinfectant (L),115,LOW,4.26,False,MEDIUM
2025-10-19,City Hospital - Main,supplies,Disinfectant (L),100,LOW,6.67,False,MEDIUM
2025-10-20,City Hospital - Main,supplies,Disinfectant (L),85,LOW,5.67,False,MEDIUM
2025-11-20,City Hospital - Main,supplies,Disinfectant (L),111,LOW,6.17,False,MEDIUM
2025-11-21,City Hospital - Main,supplies,Disinfectant (L),93,LOW,5.17,False,MEDIUM
2025-11-22,City Hospital - Main,supplies,Disinfectant (L),89,LOW,22.25,False,MEDIUM
2025-12-17,City Hospital - Main,supplies,Disinfectant (L),114,LOW,6.71,False,MEDIUM
2025-12-18,City Hospital - Main,supplies,Disinfectant (L),104,LOW,10.4,False,MEDIUM
2025-12-19,City Hospital - Main,supplies,Disinfectant (L),88,LOW,5.5,False,MEDIUM
2025-10-12,City Hospital - Pharmacy,medicines,Paracetamol 500mg,72,LOW,7.2,False,MEDIUM
2025-10-26,City Hospital - Pharmacy,medicines,Paracetamol 500mg,57,LOW,1.97,False,MEDIUM
2025-11-09,City Hospital - Pharmacy,medicines,Paracetamol 500mg,69,LOW,3.83,False,MEDIUM
2025-11-25,City Hospital - Pharmacy,medicines,Paracetamol 500mg,49,LOW,1.48,False,MEDIUM
2025-12-09,City Hospital - Pharmacy,medicines,Paracetamol 500mg,69,LOW,2.46,False,MEDIUM
2025-12-10,City Hospital - Pharmacy,medicines,Paracetamol 500mg,54,LOW,3.6,False,MEDIUM
2025-12-25,City Hospital - Pharmacy,medicines,Paracetamol 500mg,61,LOW,3.21,False,MEDIUM
2025-11-11,City Hospital - Pharmacy,medicines,Amoxicillin 250mg,364,LOW,13.0,False,MEDIUM
2025-11-12,City Hospital - Pharmacy,medicines,Amoxicillin 250mg,339,LOW,13.56,False,MEDIUM
2025-11-13,City Hospital - Pharmacy,medicines,Amoxicillin 250mg,317,LOW,14.41,False,MEDIUM
2025-11-14,City Hospital - Pharmacy,medicines,Amoxicillin 250mg,305,LOW,25.42,False,MEDIUM
2025-11-15,City Hospital - Pharmacy,medicines,Amoxicillin 250mg,289,LOW,18.06,False,MEDIUM
2025-11-16,City Hospital - Pharmacy,medicines,Amoxicillin 250mg,282,LOW,40.29,False,MEDIUM
2025-11-17,City Hospital - Pharmacy,medicines,Amoxicillin 250mg,274,LOW,34.25,False,MEDIUM
