SKU_ID,SKU_NAME,CATEGORY,ABC_CLASS,SUPPLIER_ID,SUPPLIER_NAME,WAREHOUSE_ID,WAREHOUSE_LOCATION,BATCH_ID,RECEIVED_DATE,LAST_PURCHASE_DATE,EXPIRY_DATE,AUDIT_DATE,STOCK_AGE_DAYS,QUANTITY_ON_HAND,QUANTITY_RESERVED,QUANTITY_COMMITTED,DAMAGED_QTY,RETURNS_QTY,AVG_DAILY_SALES,FORECAST_NEXT_30D,DAYS_OF_INVENTORY,SKU_CHURN_RATE,ORDER_FREQUENCY_PER_MONTH,REORDER_POINT,SAFETY_STOCK,LEAD_TIME_DAYS,UNIT_COST_USD,LAST_PURCHASE_PRICE_USD,TOTAL_INVENTORY_VALUE_USD,SUPPLIER_ONTIME_PCT,FIFO_FEFO,INVENTORY_STATUS,COUNT_VARIANCE,AUDIT_VARIANCE_PCT,DEMAND_FORECAST_ACCURACY_PCT,NOTES,UPLOAD_TIMESTAMP
SKU0019,Meat Product 464,Meat,C,S001,PT Segar Makmur,WHSBY,Surabaya - Sidoarjo,BATCH4899,2025-08-22,2025-08-05,2025-09-12,2025-08-13,18,41.00,6.00,2.00,3.00,0.00,349.00,95,1175.00,255.00,300.00,24.00,10.00,4,1133.00,1301.00,46473.00,0.00,FEFO,Expiring Soon,4.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0020,Beverages Product 452,Beverages,B,S010,PT DailyDairy,WHDPS,Denpasar - Tabanan,BATCH8749,2025-05-11,2025-03-21,2027-09-20,2025-08-16,121,1.00,182.00,197.00,0.00,0.00,9045.00,3,1521.00,197.00,2200.00,416.00,145.00,3,100.00,112.00,1.38,0.00,FEFO,In Stock,0.00,0.00,0.00,Fragile,2026-01-04T03:05:54Z
SKU0021,Seafood Product 211,Seafood,B,S008,PT Hygienic Supplies,WHJKT,Jakarta - Cengkareng,BATCH1993,2025-03-21,2025-02-24,2025-03-25,2025-08-27,172,123.00,17.00,11.00,0.00,0.00,717.00,162,1715.00,175.00,600.00,83.00,33.00,7,920.00,845.00,1.13,0.00,FEFO,Expiring Soon,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0022,Dairy Product 230,Dairy,C,S003,PT Prima Distribusi,WHMDN,Medan - Deli Serdang,BATCH8579,2025-07-25,2025-07-10,2025-08-09,2025-07-15,46,87.00,87.00,0.00,3.00,1.00,4730.00,1,184.00,1631.00,1500.00,217.00,75.00,3,107.00,99.00,9285.00,0.00,FIFO,Low Stock,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0023,Household Product 51,Household,B,S001,PT Segar Makmur,WHDPS,Denpasar - Tabanan,BATCH4872,2025-09-06,2025-08-27,2027-03-16,2025-07-09,3,210.00,38.00,30.00,1.00,2.00,1930.00,661,1088.00,276.00,500.00,407.00,137.00,14,486.00,458.00,1.02,0.00,FEFO,Low Stock,-2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0024,Household Product 463,Household,C,S001,PT Segar Makmur,WHBDG,Bandung - Rancaekek,BATCH7396,2025-06-04,2025-05-19,2026-06-08,2025-08-04,97,58.00,9.00,1.00,2.00,1.00,838.00,196,692.00,433.00,500.00,39.00,14.00,3,1311.00,1272.00,76058.00,0.00,FEFO,In Stock,-2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0025,Personal Product 402,Personal Care,B,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH5861,2025-08-01,2025-07-19,2027-08-24,2025-06-27,39,77.00,7.00,9.00,0.00,2.00,496.00,141,1552.00,193.00,100.00,31.00,16.00,3,1392.00,1591.00,1.07,0.00,FIFO,In Stock,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0026,Fresh Product 161,Fresh Produce,B,S001,PT Segar Makmur,WHJKT,Jakarta - Cengkareng,BATCH9238,2025-04-13,2025-02-14,2025-04-23,2025-09-02,149,801.00,163.00,83.00,1.00,1.00,7998.00,3,1001.00,300.00,2000.00,361.00,121.00,3,209.00,238.00,1.67,0.00,FIFO,Expiring Soon,1.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0027,Fresh Product 96,Fresh Produce,B,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH4853,2025-08-23,2025-07-29,2025-09-05,2025-06-29,17,470.00,138.00,111.00,1.00,1.00,4401.00,1,1068.00,281.00,1400.00,205.00,73.00,3,200.00,218.00,93958.00,0.00,FIFO,Expiring Soon,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0028,Pantry Product 318,Pantry,B,S002,PT Indo Fresh,WHMDN,Medan - Deli Serdang,BATCH9565,2025-03-25,2025-03-05,2029-07-02,2025-08-14,168,293.00,4.00,27.00,2.00,0.00,2722.00,948,1076.00,279.00,800.00,166.00,57.00,4,673.00,723.00,1.97,0.00,FEFO,In Stock,4.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0029,Seafood Product 136,Seafood,B,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH8491,2025-03-22,2025-03-02,2025-03-29,2025-09-08,171,259.00,23.00,53.00,0.00,2.00,2123.00,579,1220.00,246.00,800.00,98.00,34.00,3,720.00,757.00,1.87,0.00,FIFO,Expiring Soon,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0030,Personal Product 52,Personal Care,B,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH5345,2025-07-17,2025-07-09,2029-05-18,2025-09-01,54,112.00,12.00,22.00,0.00,2.00,1328.00,458,843.00,356.00,600.00,287.00,101.00,14,1729.00,1765.00,1.94,0.00,FEFO,Low Stock,-2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0031,Bakery Product 81,Bakery,C,S008,PT Hygienic Supplies,WHDPS,Denpasar - Tabanan,BATCH9666,2025-03-13,2025-03-13,2025-03-17,2025-06-17,180,134.00,11.00,16.00,3.00,1.00,1925.00,570,696.00,431.00,1000.00,30.00,11.00,1,236.00,233.00,31680.00,0.00,FEFO,Expiring Soon,-3.00,0.00,0.00,High return rate,2026-01-04T03:05:54Z
SKU0032,Meat Product 456,Meat,C,S002,PT Indo Fresh,WHDPS,Denpasar - Tabanan,BATCH5616,2025-08-01,2025-06-24,2025-08-14,2025-07-28,39,17.00,1.00,6.00,4.00,1.00,229.00,89,742.00,404.00,300.00,11.00,9.00,1,1130.00,1271.00,19216.00,0.00,FIFO,Expiring Soon,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0033,Pantry Product 136,Pantry,C,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH2512,2025-07-07,2025-05-28,2026-10-19,2025-08-05,64,72.00,13.00,21.00,1.00,3.00,596.00,151,1208.00,248.00,300.00,23.00,11.00,2,409.00,387.00,29457.00,0.00,FEFO,In Stock,4.00,0.00,0.00,Promotional item,2026-01-04T03:05:54Z
SKU0034,Beverages Product 327,Beverages,A,S005,PT Agro Raya,WHBDG,Bandung - Rancaekek,BATCH8007,2025-05-19,2025-04-14,2029-06-21,2025-08-26,113,509.00,86.00,48.00,3.00,1.00,5419.00,1,939.00,319.00,2200.00,407.00,136.00,5,395.00,367.00,2.01,0.00,FIFO,In Stock,2.00,0.00,0.00,High return rate,2026-01-04T03:05:54Z
SKU0035,Pantry Product 428,Pantry,B,S006,PT Frozen Express,WHDPS,Denpasar - Tabanan,BATCH8041,2025-04-21,2025-04-13,2027-02-18,2025-08-01,141,88.00,12.00,14.00,1.00,3.00,695.00,191,1266.00,237.00,400.00,76.00,27.00,7,1487.00,1399.00,1.31,0.00,FIFO,In Stock,1.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0036,Personal Product 498,Personal Care,C,S001,PT Segar Makmur,WHSBY,Surabaya - Sidoarjo,BATCH5088,2025-07-18,2025-06-06,2030-05-14,2025-07-26,53,69.00,38.00,23.00,3.00,0.00,1894.00,647,364.00,823.00,1100.00,122.00,46.00,4,774.00,741.00,53434.00,0.00,FIFO,Low Stock,2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0037,Personal Product 209,Personal Care,A,S010,PT DailyDairy,WHBDG,Bandung - Rancaekek,BATCH3900,2025-07-11,2025-05-16,2027-06-08,2025-09-06,60,197.00,20.00,13.00,2.00,1.00,1911.00,622,1031.00,291.00,800.00,122.00,46.00,4,1250.00,1172.00,2.46,0.00,FEFO,In Stock,-6.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0038,Personal Product 401,Personal Care,B,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH2771,2025-07-03,2025-06-09,2027-05-25,2025-07-11,68,298.00,32.00,24.00,0.00,2.00,1507.00,335,1977.00,152.00,500.00,121.00,46.00,5,409.00,370.00,1.22,0.00,FIFO,In Stock,2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0039,Household Product 236,Household,C,S006,PT Frozen Express,WHSBY,Surabaya - Sidoarjo,BATCH1387,2025-07-13,2025-06-01,2027-10-12,2025-07-20,58,85.00,15.00,34.00,2.00,2.00,1691.00,635,503.00,597.00,600.00,81.00,30.00,3,413.00,407.00,35133.00,0.00,FIFO,In Stock,-4.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0040,Household Product 496,Household,B,S005,PT Agro Raya,WHSBY,Surabaya - Sidoarjo,BATCH7548,2025-03-29,2025-02-14,2029-02-04,2025-09-06,164,81.00,24.00,30.00,5.00,1.00,896.00,327,904.00,332.00,300.00,18.00,9.00,1,1022.00,1051.00,82767.00,0.00,FEFO,In Stock,3.00,0.00,0.00,Promotional item,2026-01-04T03:05:54Z
SKU0041,Dairy Product 493,Dairy,B,S005,PT Agro Raya,WHJKT,Jakarta - Cengkareng,BATCH8119,2025-08-13,2025-07-22,2025-09-08,2025-07-16,27,398.00,6.00,3.00,3.00,3.00,4859.00,1,819.00,366.00,1800.00,513.00,173.00,7,217.00,198.00,86195.00,0.00,FEFO,Low Stock,4.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0042,Frozen Product 198,Frozen,B,S010,PT DailyDairy,WHBDG,Bandung - Rancaekek,BATCH8144,2025-07-06,2025-07-06,2026-01-13,2025-07-25,65,207.00,57.00,18.00,2.00,1.00,4741.00,1,437.00,687.00,1800.00,73.00,26.00,1,703.00,785.00,1.46,0.00,FIFO,In Stock,5.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0043,Personal Product 472,Personal Care,A,S006,PT Frozen Express,WHDPS,Denpasar - Tabanan,BATCH3041,2025-06-21,2025-05-06,2030-03-10,2025-07-07,80,193.00,37.00,21.00,2.00,0.00,1436.00,324,1344.00,223.00,900.00,155.00,54.00,7,2222.00,2524.00,4.29,0.00,FEFO,In Stock,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0044,Bakery Product 207,Bakery,C,S005,PT Agro Raya,WHDPS,Denpasar - Tabanan,BATCH7888,2025-08-08,2025-06-27,2025-08-11,2025-06-15,32,42.00,15.00,4.00,2.00,0.00,529.00,187,794.00,378.00,100.00,59.00,22.00,7,177.00,201.00,7437.00,0.00,FEFO,Low Stock,3.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0045,Dairy Product 292,Dairy,C,S005,PT Agro Raya,WHMDN,Medan - Deli Serdang,BATCH5978,2025-04-22,2025-04-04,2025-04-29,2025-07-16,140,293.00,61.00,8.00,2.00,1.00,3911.00,1,749.00,400.00,1800.00,123.00,45.00,2,253.00,286.00,74223.00,0.00,FIFO,Expiring Soon,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0046,Pantry Product 165,Pantry,C,S008,PT Hygienic Supplies,WHMDN,Medan - Deli Serdang,BATCH4501,2025-05-19,2025-04-17,2030-03-02,2025-08-19,113,298.00,80.00,85.00,0.00,0.00,2710.00,650,1100.00,273.00,800.00,82.00,28.00,2,231.00,232.00,68904.00,0.00,FEFO,In Stock,3.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0047,Meat Product 340,Meat,B,S010,PT DailyDairy,WHSBY,Surabaya - Sidoarjo,BATCH6085,2025-08-17,2025-08-03,2025-08-29,2025-08-22,23,282.00,59.00,57.00,2.00,1.00,2722.00,774,1036.00,290.00,500.00,43.00,16.00,1,650.00,686.00,1.83,0.00,FIFO,Expiring Soon,-4.00,0.00,0.00,High return rate,2026-01-04T03:05:54Z
SKU0048,Personal Product 313,Personal Care,C,S002,PT Indo Fresh,WHMDN,Medan - Deli Serdang,BATCH4185,2025-05-26,2025-04-11,2029-12-05,2025-07-08,106,48.00,4.00,5.00,2.00,1.00,347.00,113,1383.00,217.00,400.00,13.00,10.00,1,43.00,47.00,2063.00,0.00,FEFO,In Stock,5.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0049,Dairy Product 353,Dairy,C,S001,PT Segar Makmur,WHJKT,Jakarta - Cengkareng,BATCH3881,2025-05-24,2025-04-03,2025-06-07,2025-09-03,108,80.00,62.00,18.00,2.00,0.00,3653.00,1,219.00,1370.00,1700.00,118.00,45.00,2,94.00,108.00,7530.00,0.00,FEFO,Low Stock,-1.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0050,Personal Product 63,Personal Care,C,S008,PT Hygienic Supplies,WHBDG,Bandung - Rancaekek,BATCH9702,2025-05-14,2025-04-09,2030-02-09,2025-07-15,118,42.00,5.00,10.00,2.00,1.00,389.00,144,1080.00,278.00,100.00,14.00,10.00,1,598.00,619.00,25121.00,0.00,FEFO,In Stock,-2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0051,Beverages Product 259,Beverages,C,S007,PT Bakerindo,WHDPS,Denpasar - Tabanan,BATCH8777,2025-05-18,2025-04-20,2027-04-08,2025-08-09,114,42.00,12.00,4.00,1.00,0.00,408.00,110,1029.00,291.00,200.00,27.00,15.00,3,699.00,730.00,29345.00,0.00,FEFO,In Stock,4.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0052,Meat Product 399,Meat,B,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH5499,2025-04-02,2025-03-05,2025-04-14,2025-08-04,160,435.00,124.00,67.00,1.00,1.00,3441.00,1,1264.00,237.00,1300.00,52.00,18.00,1,462.00,461.00,2.01,0.00,FIFO,Expiring Soon,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0053,Seafood Product 458,Seafood,C,S009,PT Beverage Nusantara,WHJKT,Jakarta - Cengkareng,BATCH4788,2025-08-05,2025-07-12,2025-08-10,2025-06-11,35,41.00,4.00,6.00,1.00,2.00,288.00,72,1424.00,211.00,200.00,6.00,3.00,1,1166.00,1162.00,47821.00,0.00,FIFO,Expiring Soon,-1.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0054,Bakery Product 170,Bakery,B,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH4388,2025-05-26,2025-04-03,2025-05-28,2025-07-22,106,680.00,47.00,26.00,0.00,0.00,3591.00,1,1894.00,158.00,1100.00,117.00,45.00,2,230.00,210.00,1.57,0.00,FEFO,Expiring Soon,-2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0055,Pantry Product 357,Pantry,C,S001,PT Segar Makmur,WHDPS,Denpasar - Tabanan,BATCH1096,2025-06-04,2025-04-05,2029-02-04,2025-08-02,97,29.00,4.00,3.00,2.00,1.00,241.00,89,1203.00,249.00,400.00,39.00,15.00,10,1053.00,1039.00,30528.00,0.00,FEFO,Low Stock,3.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0056,Household Product 489,Household,A,S007,PT Bakerindo,WHDPS,Denpasar - Tabanan,BATCH4613,2025-04-23,2025-03-23,2029-09-09,2025-08-06,139,216.00,36.00,18.00,0.00,2.00,1392.00,294,1552.00,193.00,800.00,70.00,28.00,3,1410.00,1326.00,3.05,0.00,FIFO,In Stock,0.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0057,Fresh Product 173,Fresh Produce,B,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH9751,2025-05-13,2025-05-12,2025-05-18,2025-06-26,119,1.00,43.00,129.00,0.00,0.00,7722.00,2,1483.00,202.00,2600.00,117.00,40.00,1,149.00,163.00,1.71,0.00,FEFO,Expiring Soon,1.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0058,Fresh Product 330,Fresh Produce,C,S007,PT Bakerindo,WHBDG,Bandung - Rancaekek,BATCH1823,2025-05-14,2025-04-28,2025-05-19,2025-07-30,118,81.00,31.00,9.00,2.00,2.00,992.00,238,817.00,367.00,300.00,17.00,7.00,1,114.00,111.00,9266.00,0.00,FEFO,Expiring Soon,2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0059,Seafood Product 390,Seafood,B,S007,PT Bakerindo,WHSBY,Surabaya - Sidoarjo,BATCH2341,2025-05-25,2025-04-25,2025-06-01,2025-07-02,107,112.00,16.00,29.00,2.00,0.00,892.00,307,1256.00,239.00,600.00,49.00,22.00,3,1051.00,1062.00,1.18,0.00,FIFO,Expiring Soon,-3.00,0.00,0.00,Promotional item,2026-01-04T03:05:54Z
SKU0060,Meat Product 36,Meat,C,S001,PT Segar Makmur,WHJKT,Jakarta - Cengkareng,BATCH1333,2025-07-08,2025-05-30,2025-07-19,2025-08-10,63,129.00,3.00,15.00,0.00,3.00,784.00,193,1645.00,182.00,100.00,169.00,59.00,14,246.00,270.00,31698.00,0.00,FIFO,Low Stock,0.00,0.00,0.00,Seasonal SKU,2026-01-04T03:05:54Z
SKU0061,Pantry Product 112,Pantry,B,S008,PT Hygienic Supplies,WHSBY,Surabaya - Sidoarjo,BATCH2876,2025-06-07,2025-04-19,2027-05-16,2025-08-01,94,198.00,2.00,25.00,0.00,0.00,2413.00,552,821.00,366.00,700.00,154.00,57.00,4,425.00,474.00,84233.00,0.00,FIFO,In Stock,-7.00,0.00,0.00,Seasonal SKU,2026-01-04T03:05:54Z
SKU0062,Personal Product 295,Personal Care,C,S007,PT Bakerindo,WHMDN,Medan - Deli Serdang,BATCH4978,2025-07-21,2025-07-15,2026-12-23,2025-06-14,50,27.00,5.00,4.00,1.00,0.00,311.00,72,868.00,346.00,300.00,12.00,9.00,1,1309.00,1244.00,35336.00,0.00,FEFO,In Stock,-2.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0063,Dairy Product 290,Dairy,A,S001,PT Segar Makmur,WHSBY,Surabaya - Sidoarjo,BATCH7071,2025-04-26,2025-04-22,2025-05-16,2025-09-08,136,858.00,145.00,66.00,0.00,0.00,5700.00,1,1505.00,199.00,2300.00,431.00,146.00,5,379.00,398.00,3.25,0.00,FEFO,Expiring Soon,7.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0064,Household Product 55,Household,B,S007,PT Bakerindo,WHSBY,Surabaya - Sidoarjo,BATCH3506,2025-03-31,2025-03-04,2028-10-27,2025-07-05,162,109.00,0.00,26.00,2.00,2.00,1270.00,391,858.00,350.00,300.00,60.00,22.00,3,985.00,926.00,1.07,0.00,FIFO,In Stock,1.00,0.00,0.00,,2026-01-04T03:05:54Z
SKU0065,Meat Product 414,Meat,B,S009,PT Beverage Nusantara,WHMDN,Medan - Deli Serdang,BATCH5397,2025-05-13,2025-04-23,2025-05-31,2025-08-29,119,492.00,58.00,97.00,0.00,0.00,3394.00,954,1450.00,207.00,1300.00,365.00,127.00,7,364.00,377.00,1.79,0.00,FIFO,Expiring Soon,2.00,0.00,0.00,,2026-01-04T03:05:54Z
